SBD,So GD&DT,Toan,Van,Su,Dia,Ly,Hoa,Sinh,NgoaiNgu,GDCD,NamThi
10009389,So GD&DT tinh Lang Son,2.8,2.75,3,6.75,,,,3.6,6,2022
10009390,So GD&DT tinh Lang Son,3,4.25,5,4,,,,,,2022
10009391,So GD&DT tinh Lang Son,6.4,7,6,7.5,,,,2.6,8.5,2022
10009392,So GD&DT tinh Lang Son,4.6,5.5,7,6.25,,,,,,2022
10009393,So GD&DT tinh Lang Son,7,6,7.25,7,,,,3.8,8.5,2022
10009394,So GD&DT tinh Lang Son,3.8,5.75,5,6.25,,,,2.4,6,2022
10009395,So GD&DT tinh Lang Son,4,3.25,4.75,7.25,,,,,,2022
10009396,So GD&DT tinh Lang Son,5.4,6,6,7.5,,,,,,2022
10009397,So GD&DT tinh Lang Son,6.8,6.75,7.25,7,,,,3,8.25,2022
10009398,So GD&DT tinh Lang Son,2.6,3.5,4.5,5.25,,,,,,2022
10009399,So GD&DT tinh Lang Son,6.2,6,6.25,7.5,,,,2.4,7.5,2022
10009400,So GD&DT tinh Lang Son,5.4,5,5,6.5,,,,,,2022
10009401,So GD&DT tinh Lang Son,3.8,4.5,4.25,6.25,,,,,,2022
10009402,So GD&DT tinh Lang Son,3.4,6.25,6.75,8.25,,,,,,2022
10009403,So GD&DT tinh Lang Son,4.2,4.5,3.75,5.75,,,,2,5.5,2022
10009404,So GD&DT tinh Lang Son,3.2,5,2.25,2.5,,,,,,2022
10009405,So GD&DT tinh Lang Son,4.8,5.5,2.75,5.5,,,,3,7,2022
10009406,So GD&DT tinh Lang Son,4.6,7.5,6.25,5.75,,,,8.4,7.75,2022
10009407,So GD&DT tinh Lang Son,6,6.75,4,7,,,,,,2022
10009408,So GD&DT tinh Lang Son,4.6,5.5,5.5,7,,,,4.6,7.5,2022
10009409,So GD&DT tinh Lang Son,3.8,4.5,5.75,7.25,,,,,,2022
10009410,So GD&DT tinh Lang Son,5,5,7,8,,,,2,8,2022
10009411,So GD&DT tinh Lang Son,3.8,5.25,8.25,7.75,,,,4,9.25,2022
10009412,So GD&DT tinh Lang Son,5.8,6.5,6,7.75,,,,2.8,8.25,2022
10009413,So GD&DT tinh Lang Son,5.4,5.25,5.75,8,,,,2,6.75,2022
10009414,So GD&DT tinh Lang Son,4.8,5.5,6.25,7.25,,,,,,2022
10009415,So GD&DT tinh Lang Son,4.2,6.25,6.25,6.5,,,,,,2022
10009416,So GD&DT tinh Lang Son,1.6,2.75,4.25,7.25,,,,,,2022
10009417,So GD&DT tinh Lang Son,3.8,3,4.25,4.75,,,,,,2022
10009418,So GD&DT tinh Lang Son,3.4,4.25,4.5,6.5,,,,3.8,7.75,2022
10009419,So GD&DT tinh Lang Son,7.8,5,9,6.75,,,,3.4,8.75,2022
10009420,So GD&DT tinh Lang Son,3.6,5.5,6.75,5.75,,,,,,2022
10009421,So GD&DT tinh Lang Son,6.2,7.25,8.25,8.5,,,,3.8,9.25,2022
10009422,So GD&DT tinh Lang Son,2.2,4.5,5,5.5,,,,,,2022
10009423,So GD&DT tinh Lang Son,4.2,5,5,4.25,,,,3,7.5,2022
10009424,So GD&DT tinh Lang Son,4.4,5.25,4.25,5.75,,,,,,2022
10009425,So GD&DT tinh Lang Son,5.4,5.25,6.5,7,,,,3.2,7.5,2022
10009426,So GD&DT tinh Lang Son,4,6.25,8.5,7.5,,,,1.6,8.25,2022
10009427,So GD&DT tinh Lang Son,5.6,5,5.75,7.75,,,,,,2022
10009428,So GD&DT tinh Lang Son,4.4,3,6.25,8.25,,,,2.2,8.5,2022
10009429,So GD&DT tinh Lang Son,4.8,5,7.25,6.75,,,,,,2022
10009430,So GD&DT tinh Lang Son,5.2,5.25,6.5,7.25,,,,3,8.25,2022
10009431,So GD&DT tinh Lang Son,6.4,6.25,9.5,7.5,,,,1.6,8.5,2022
10009432,So GD&DT tinh Lang Son,5.8,5,5.5,7,,,,,,2022
10009433,So GD&DT tinh Lang Son,7.6,5,6.5,8.75,,,,8.2,9.75,2022
10009434,So GD&DT tinh Lang Son,7,6.25,,,7.5,1.5,4.25,5.8,,2022
10009435,So GD&DT tinh Lang Son,8.4,6.5,,,7.5,5.5,4.5,4.6,,2022
10009436,So GD&DT tinh Lang Son,4,4.25,4.75,6.5,,,,2.8,6.5,2022
10009437,So GD&DT tinh Lang Son,5,7.5,5.75,7.25,,,,3,7.75,2022
10009438,So GD&DT tinh Lang Son,7.6,5.5,7.75,8.25,,,,3.8,8.75,2022
10009439,So GD&DT tinh Lang Son,1.8,6.75,6,6.5,,,,3.2,8,2022
10009440,So GD&DT tinh Lang Son,5.2,6.5,7.25,9,,,,8.2,9,2022
10009441,So GD&DT tinh Lang Son,5,5.5,5.75,8.5,,,,1.2,8,2022
10009442,So GD&DT tinh Lang Son,7,6.75,7,7.5,,,,3.4,9.25,2022
10009443,So GD&DT tinh Lang Son,5.6,4.5,6,6,,,,,,2022
10009444,So GD&DT tinh Lang Son,4.6,7.75,8.5,8.25,,,,3,8.25,2022
10009445,So GD&DT tinh Lang Son,5.6,6.25,6.75,7.25,,,,,,2022
10009446,So GD&DT tinh Lang Son,4,4,5,6.75,,,,,,2022
10009447,So GD&DT tinh Lang Son,4.8,7,3.5,5.5,,,,2.2,6.25,2022
10009448,So GD&DT tinh Lang Son,4.4,6,7,8.5,,,,,,2022
10009449,So GD&DT tinh Lang Son,4.4,6.25,4,6.25,,,,2.6,8.25,2022
10009450,So GD&DT tinh Lang Son,5,4.75,4.75,5.25,,,,2.6,6.75,2022
10009451,So GD&DT tinh Lang Son,3.6,7,4.75,6.5,,,,2.8,9,2022
10009452,So GD&DT tinh Lang Son,5,6.5,4.75,6,,,,,,2022
10009453,So GD&DT tinh Lang Son,3.4,6.75,5.75,7.5,,,,,,2022
10009454,So GD&DT tinh Lang Son,3.8,6.25,4.75,7.5,,,,3.6,7.25,2022
10009455,So GD&DT tinh Lang Son,3.8,5,4,5.75,,,,,,2022
10009456,So GD&DT tinh Lang Son,5.8,5.5,7.5,8,,,,2.4,7.25,2022
10009457,So GD&DT tinh Lang Son,4.4,4.25,3.25,4.75,,,,,,2022
10009458,So GD&DT tinh Lang Son,2.2,1.75,1.25,4.75,,,,,,2022
10009459,So GD&DT tinh Lang Son,3.8,3.75,3.5,5.25,,,,,,2022
10009460,So GD&DT tinh Lang Son,6.4,6.75,2.5,5.75,,,,3.2,6,2022
10009461,So GD&DT tinh Lang Son,6,7.75,7.75,8.25,,,,5.4,9.25,2022
10009462,So GD&DT tinh Lang Son,5.8,5,6.5,8.25,,,,,,2022
10009463,So GD&DT tinh Lang Son,3.4,3.75,6,7.5,,,,3,7.25,2022
10009464,So GD&DT tinh Lang Son,5.8,7,6.25,7.5,,,,,,2022
10009465,So GD&DT tinh Lang Son,3.8,3.5,3,5,,,,3,7.5,2022
10009466,So GD&DT tinh Lang Son,8,5,,,6.5,8.5,5.75,5,,2022
10009467,So GD&DT tinh Lang Son,5.2,7.75,5.75,5.5,,,,4.2,9,2022
10009468,So GD&DT tinh Lang Son,3.6,5,5,5.75,,,,,,2022
10009469,So GD&DT tinh Lang Son,3.6,4.5,5.75,7.25,,,,,,2022
10009470,So GD&DT tinh Lang Son,6,3.5,,,5.5,2.5,3.25,6.4,,2022
10009471,So GD&DT tinh Lang Son,7,5.75,5,6.75,,,,3.4,8.5,2022
10009472,So GD&DT tinh Lang Son,3.8,5,7.5,7.25,,,,,,2022
10009473,So GD&DT tinh Lang Son,5.2,3.5,4.25,4.75,,,,1.8,7,2022
10009474,So GD&DT tinh Lang Son,6.4,6.5,8.5,8.75,,,,3.2,8,2022
10009475,So GD&DT tinh Lang Son,2.8,2,3.75,5.75,,,,,,2022
10009476,So GD&DT tinh Lang Son,3,4.75,5.5,6.5,,,,,,2022
10009477,So GD&DT tinh Lang Son,5.8,5.25,5.25,6.75,,,,,,2022
10009478,So GD&DT tinh Lang Son,4.2,6.75,6,6,,,,2.6,7,2022
10009479,So GD&DT tinh Lang Son,4,4.75,7,7.75,,,,,,2022
10009480,So GD&DT tinh Lang Son,5,6.25,4.25,6,,,,2.8,6.25,2022
10009481,So GD&DT tinh Lang Son,4.8,3.5,5,6.25,,,,2.2,7.75,2022
10009482,So GD&DT tinh Lang Son,3.2,5.5,4.75,6.75,,,,3,8,2022
10009483,So GD&DT tinh Lang Son,2.4,4.5,4.25,5.25,,,,,,2022
10009484,So GD&DT tinh Lang Son,7.6,8,,,6.5,8.5,5.5,4.2,,2022
10009485,So GD&DT tinh Lang Son,3,4,4.75,5.25,,,,2.6,7.25,2022
10009486,So GD&DT tinh Lang Son,3,4.25,5,4.5,,,,,,2022
10009487,So GD&DT tinh Lang Son,8.2,7,,,7.5,7.5,5,4,,2022
10009488,So GD&DT tinh Lang Son,2.6,2.75,3.25,6.5,,,,,,2022
10009489,So GD&DT tinh Lang Son,4.6,3,4,5,,,,4.2,5.75,2022
10009490,So GD&DT tinh Lang Son,5.6,6.25,4.75,4.75,,,,3.6,6,2022
10009491,So GD&DT tinh Lang Son,2.2,3.75,4.5,5,,,,,,2022
10009492,So GD&DT tinh Lang Son,4.8,3.5,3.5,6.5,,,,1.6,7.5,2022
10009493,So GD&DT tinh Lang Son,6.6,5.25,5.5,7.5,,,,,,2022
10009494,So GD&DT tinh Lang Son,7,8.5,8,8.5,,,,4.6,8.5,2022
10009495,So GD&DT tinh Lang Son,3.6,5.25,4.75,7.25,,,,,,2022
10009496,So GD&DT tinh Lang Son,5.2,6,5.25,7.75,,,,4.6,8.25,2022
10009497,So GD&DT tinh Lang Son,5.8,4.75,5.75,6.75,,,,,,2022
10009498,So GD&DT tinh Lang Son,3.4,6.75,6.25,7,,,,3.8,8.25,2022
10009499,So GD&DT tinh Lang Son,3.8,5.25,4.5,5.75,,,,,,2022
10009500,So GD&DT tinh Lang Son,6,5.75,6.25,6.5,,,,3.4,8,2022
10009501,So GD&DT tinh Lang Son,3,4.25,5.75,5.5,,,,,,2022
10009502,So GD&DT tinh Lang Son,3,4.25,4.25,5.25,,,,,,2022
10009503,So GD&DT tinh Lang Son,2.2,6,3.75,5.5,,,,,,2022
10009504,So GD&DT tinh Lang Son,6.4,6.5,4.5,7,,,,3.2,8.25,2022
10009505,So GD&DT tinh Lang Son,5,6,4.25,5.75,,,,3.6,7.5,2022
10009506,So GD&DT tinh Lang Son,5.6,6.25,6.25,7.5,,,,2.6,8.5,2022
10009507,So GD&DT tinh Lang Son,5,4.75,4.25,7,,,,,,2022
10009508,So GD&DT tinh Lang Son,3.8,5.25,5.25,5.25,,,,2.8,7.25,2022
10009509,So GD&DT tinh Lang Son,4.6,4.5,6,6.75,,,,,,2022
10009510,So GD&DT tinh Lang Son,4.2,2.75,5.25,7,,,,,,2022
10009511,So GD&DT tinh Lang Son,6,4.75,4.75,4.75,,,,2.6,6,2022
10009512,So GD&DT tinh Lang Son,1.8,3,2.75,4,,,,2.6,3.5,2022
10009513,So GD&DT tinh Lang Son,5.4,5.75,8.25,8.5,,,,5,8.5,2022
10009514,So GD&DT tinh Lang Son,4,3.5,5.75,6,,,,3,7,2022
10009515,So GD&DT tinh Lang Son,5.2,6,5,6,,,,3.6,7.75,2022
10009516,So GD&DT tinh Lang Son,7.2,7.25,5.5,6.25,,,,4.6,,2022
10009517,So GD&DT tinh Lang Son,3.6,6.25,5.75,7,,,,,,2022
10009518,So GD&DT tinh Lang Son,6.2,7.75,8.25,8,,,,2.8,8.5,2022
10009519,So GD&DT tinh Lang Son,4.2,6.25,5,5.5,,,,,,2022
10009520,So GD&DT tinh Lang Son,4.6,5.25,4.5,6.25,,,,3,8.5,2022
10009521,So GD&DT tinh Lang Son,6,4.75,5,6.25,,,,,,2022
10009522,So GD&DT tinh Lang Son,3.4,2.75,3.5,5.5,,,,,,2022
10009523,So GD&DT tinh Lang Son,2.8,4.75,3.5,5.75,,,,,,2022
10009524,So GD&DT tinh Lang Son,7.6,6.25,,,7.5,4.5,6.75,4.2,,2022
10009525,So GD&DT tinh Lang Son,1.8,5,5.5,6,,,,,,2022
10009526,So GD&DT tinh Lang Son,3.8,5.25,5,7.25,,,,1.6,8.5,2022
10009527,So GD&DT tinh Lang Son,5.4,4,4.75,6.25,,,,,,2022
10009528,So GD&DT tinh Lang Son,6.4,4.5,5.75,7.75,,,,6.8,7.75,2022
10009529,So GD&DT tinh Lang Son,2.6,4.75,5.75,7.75,,,,,,2022
10009530,So GD&DT tinh Lang Son,5,5.5,6.25,7.5,,,,,,2022
10009531,So GD&DT tinh Lang Son,5.6,4.5,6.5,7.5,,,,2.6,7.25,2022
10009532,So GD&DT tinh Lang Son,4.6,4.5,5.75,5.75,,,,,,2022
10009533,So GD&DT tinh Lang Son,4.8,5.25,5.25,7,,,,2.2,6,2022
10009534,So GD&DT tinh Lang Son,3.4,4,4.25,5.5,,,,,,2022
10009535,So GD&DT tinh Lang Son,4.4,3.75,4,7.75,,,,3.2,7.75,2022
10009536,So GD&DT tinh Lang Son,5.4,4,6.5,7.5,,,,,,2022
10009537,So GD&DT tinh Lang Son,3.8,5,4,6,,,,,,2022
10009538,So GD&DT tinh Lang Son,4,5.5,4,5.75,,,,,,2022
10009539,So GD&DT tinh Lang Son,6.8,7.25,8,8.5,,,,4.8,9,2022
10009540,So GD&DT tinh Lang Son,5.4,5.25,5.5,7.75,,,,,,2022
10009541,So GD&DT tinh Lang Son,7.4,6.25,,,7,2.5,7.5,4.4,,2022
10009542,So GD&DT tinh Lang Son,5.6,5,5.75,7.75,,,,,,2022
10009543,So GD&DT tinh Lang Son,6.4,8,8.5,8.25,,,,3.4,9.75,2022
10009544,So GD&DT tinh Lang Son,3.8,3.75,5.75,8.5,,,,2.6,7,2022
10009545,So GD&DT tinh Lang Son,4.6,4.25,4.25,5.75,,,,,,2022
10009546,So GD&DT tinh Lang Son,7.8,7.25,8.5,9.25,,,,4.4,9.5,2022
10009547,So GD&DT tinh Lang Son,4.8,6,5,5,,,,,,2022
10009548,So GD&DT tinh Lang Son,4,5.5,6,6.25,,,,,,2022
10009549,So GD&DT tinh Lang Son,4,4.25,3.5,4.75,,,,,,2022
10009550,So GD&DT tinh Lang Son,3.2,4,2.75,4.25,,,,,,2022
10009551,So GD&DT tinh Lang Son,5,5.5,8,6.5,,,,2.6,8.25,2022
10009552,So GD&DT tinh Lang Son,6,7.25,5.75,6.5,,,,,,2022
10009553,So GD&DT tinh Lang Son,3,4,3.25,5,,,,,,2022
10009554,So GD&DT tinh Lang Son,5.4,3.5,4.5,7.75,,,,,,2022
10009555,So GD&DT tinh Lang Son,5.2,5.25,6.75,7,,,,,,2022
10009556,So GD&DT tinh Lang Son,5,6,7,8.25,,,,2.2,7.25,2022
10009557,So GD&DT tinh Lang Son,3.4,4.25,6,7.75,,,,3.6,7.25,2022
10009558,So GD&DT tinh Lang Son,5,3.25,5.25,5.5,,,,3.6,7.25,2022
10009559,So GD&DT tinh Lang Son,3.8,4.5,3.5,5.75,,,,2.2,6.5,2022
10009560,So GD&DT tinh Lang Son,5.2,5.25,6.25,6.5,,,,,,2022
10009561,So GD&DT tinh Lang Son,6.6,6.25,7.5,9.25,,,,4,9.25,2022
10009562,So GD&DT tinh Lang Son,5.6,4.5,5.5,6.75,,,,,,2022
10009563,So GD&DT tinh Lang Son,4.2,4,4.75,8.75,,,,,,2022
10009564,So GD&DT tinh Lang Son,4.4,2.5,6.5,7.25,,,,,,2022
10009565,So GD&DT tinh Lang Son,5.8,4.5,7.25,6.5,,,,2.2,8.75,2022
10009566,So GD&DT tinh Lang Son,4.4,6.25,6.75,7.5,,,,2.4,8.5,2022
10009567,So GD&DT tinh Lang Son,4.6,4,4.25,7.5,,,,,,2022
10009568,So GD&DT tinh Lang Son,6.4,4.5,1.25,6,,,,,,2022
10009569,So GD&DT tinh Lang Son,5,6,3.75,5.5,,,,,,2022
10009570,So GD&DT tinh Lang Son,3.2,6,4.75,6.5,,,,3,7.5,2022
10009571,So GD&DT tinh Lang Son,7.4,7.5,8.25,8.75,,,,2.2,8.5,2022
10009572,So GD&DT tinh Lang Son,3,4.75,2.75,4.5,,,,,,2022
10009573,So GD&DT tinh Lang Son,6.4,5.5,6,8,,,,,,2022
10009574,So GD&DT tinh Lang Son,3.8,3.5,6,6,,,,,,2022
10009575,So GD&DT tinh Lang Son,5.8,5,6.75,8,,,,,,2022
10009576,So GD&DT tinh Lang Son,4,5.5,7,5.75,,,,2.4,8.75,2022
10009577,So GD&DT tinh Lang Son,6.4,6,5.25,7,,,,3.6,6.75,2022
10009578,So GD&DT tinh Lang Son,4.2,6.5,5.25,6,,,,2.4,7.5,2022
10009579,So GD&DT tinh Lang Son,4,4.5,3.25,5.75,,,,,,2022
10009580,So GD&DT tinh Lang Son,5,5.5,4.5,5.75,,,,,,2022
10009581,So GD&DT tinh Lang Son,4.8,6.75,5.5,8,,,,,,2022
10009582,So GD&DT tinh Lang Son,8.2,5.75,8,9,,,,9.8,8.75,2022
10009583,So GD&DT tinh Lang Son,5.4,5.25,3.75,5.25,,,,2.2,7.75,2022
10009584,So GD&DT tinh Lang Son,7.8,7,6.5,7.5,,,,4.8,8.5,2022
10009585,So GD&DT tinh Lang Son,5.6,5.25,7,7.75,,,,,,2022
10009586,So GD&DT tinh Lang Son,5.6,5,6,7.5,,,,,,2022
10009587,So GD&DT tinh Lang Son,3.6,3,5,5.5,,,,2.8,7.5,2022
10009588,So GD&DT tinh Lang Son,3.8,2.25,3.75,4.5,,,,,,2022
10009589,So GD&DT tinh Lang Son,2.2,5,2.25,3.75,,,,4.6,3.75,2022
10009590,So GD&DT tinh Lang Son,6.2,4.5,6,6.25,,,,,,2022
10009591,So GD&DT tinh Lang Son,7,6.75,4.5,7.25,,,,3,8,2022
10009592,So GD&DT tinh Lang Son,3.8,5.5,7,7.75,,,,,,2022
10009593,So GD&DT tinh Lang Son,5.4,4.25,6,7.5,,,,,,2022
10009594,So GD&DT tinh Lang Son,6.8,6.25,6.5,8.25,,,,2.6,8.75,2022
10009595,So GD&DT tinh Lang Son,4.4,4.5,4.5,6.5,,,,2,6,2022
10009596,So GD&DT tinh Lang Son,4,5.25,5.5,7.25,,,,,,2022
10009597,So GD&DT tinh Lang Son,6.6,6,6.5,6.75,,,,,,2022
10009598,So GD&DT tinh Lang Son,7,7.75,6,7.25,,,,2.2,9,2022
10009599,So GD&DT tinh Lang Son,5.2,7.25,4.75,5,,,,2.6,8,2022
10009600,So GD&DT tinh Lang Son,6.2,7,5.25,6.5,,,,3,7.5,2022
10009601,So GD&DT tinh Lang Son,4,5.5,6.5,7.5,,,,3.2,6.75,2022
10009602,So GD&DT tinh Lang Son,4.2,5.25,5,6.25,,,,,,2022
10009603,So GD&DT tinh Lang Son,5.2,6.25,7.25,7.5,,,,,,2022
10009604,So GD&DT tinh Lang Son,2.6,5,5.5,7,,,,,,2022
10009605,So GD&DT tinh Lang Son,4.8,5.5,5.75,7,,,,,,2022
10009606,So GD&DT tinh Lang Son,5.4,6.25,6.25,7.5,,,,3,7.25,2022
10009607,So GD&DT tinh Lang Son,8.2,7.75,,,8.25,3.5,6.25,5.2,,2022
10009608,So GD&DT tinh Lang Son,6.2,6.75,8,7.75,,,,5,8.75,2022
10009609,So GD&DT tinh Lang Son,5.6,5.75,8.25,7.75,,,,,,2022
10009610,So GD&DT tinh Lang Son,4.8,7.5,7.5,7.5,,,,4.8,8.25,2022
10009611,So GD&DT tinh Lang Son,2.8,4.5,5.5,6.75,,,,1.6,7.5,2022
10009612,So GD&DT tinh Lang Son,4.2,6.5,6,7.5,,,,2.8,7.25,2022
10009613,So GD&DT tinh Lang Son,3.4,6.5,4.25,6.75,,,,,,2022
10009614,So GD&DT tinh Lang Son,4,6,6.25,7,,,,,,2022
10009615,So GD&DT tinh Lang Son,5.4,5.75,5.75,6,,,,2,8,2022
10009616,So GD&DT tinh Lang Son,2.4,1.75,2.5,3.75,,,,,,2022
10009617,So GD&DT tinh Lang Son,7.8,4.75,6,8.25,,,,3,9.25,2022
10009618,So GD&DT tinh Lang Son,3.8,3.75,4.5,6.75,,,,3.8,7,2022
10009619,So GD&DT tinh Lang Son,4.2,5.25,7.5,6.25,,,,,,2022
10009620,So GD&DT tinh Lang Son,8.6,4,,,7.75,5.5,3.75,4,,2022
10009621,So GD&DT tinh Lang Son,8.4,7,,,8.5,7.5,5.75,5.4,,2022
10009622,So GD&DT tinh Lang Son,3,3.5,4.25,5.5,,,,,,2022
10009623,So GD&DT tinh Lang Son,3.4,6,7.25,7,,,,,,2022
10009624,So GD&DT tinh Lang Son,4.6,4.5,6.5,5.75,,,,2.8,8,2022
10009625,So GD&DT tinh Lang Son,2.8,3.75,5,6,,,,,,2022
10009626,So GD&DT tinh Lang Son,4.4,4,4.75,6.5,,,,,,2022
10009627,So GD&DT tinh Lang Son,4.4,5.5,3,8,,,,2.2,7.75,2022
10009628,So GD&DT tinh Lang Son,4.6,6.75,8.5,8.25,,,,2.6,8.5,2022
10009629,So GD&DT tinh Lang Son,5,5,6.25,6.75,,,,3.4,8.75,2022
10009630,So GD&DT tinh Lang Son,6.8,4.5,2.5,7.25,,,,,,2022
10009631,So GD&DT tinh Lang Son,7.6,6.75,,,5.5,9.5,3.25,5.4,,2022
10009632,So GD&DT tinh Lang Son,8.2,8.5,8.5,8.5,,,,7.2,8.75,2022
10009633,So GD&DT tinh Lang Son,7.4,8.25,8.5,8.25,,,,5.2,8,2022
10009634,So GD&DT tinh Lang Son,6.2,5.25,3.75,7.5,,,,,,2022
10009635,So GD&DT tinh Lang Son,5.2,6,7,7.5,,,,,,2022
10009636,So GD&DT tinh Lang Son,4.2,6.5,8,7.75,,,,3.4,8,2022
10009637,So GD&DT tinh Lang Son,4.2,6.25,6,6.75,,,,3.2,8.75,2022
10009638,So GD&DT tinh Lang Son,7.2,8,7,7.25,,,,5.4,7.75,2022
10009639,So GD&DT tinh Lang Son,4,4.75,5.5,5,,,,,,2022
10009640,So GD&DT tinh Lang Son,6.4,6,6.75,7.75,,,,2.2,8.25,2022
10009641,So GD&DT tinh Lang Son,2.4,6,5,5.5,,,,,,2022
10009642,So GD&DT tinh Lang Son,5.8,7,6.5,6.25,,,,2.8,8,2022
10009643,So GD&DT tinh Lang Son,6.2,3.5,5,6.25,,,,2.6,9.25,2022
10009644,So GD&DT tinh Lang Son,4.6,5,5.5,7.5,,,,2.2,8,2022
10009645,So GD&DT tinh Lang Son,4.8,5,6.5,6.25,,,,,,2022
10009646,So GD&DT tinh Lang Son,4.2,6,5.5,5,,,,,,2022
10009647,So GD&DT tinh Lang Son,6.4,6.5,6.25,6.25,,,,5,7,2022
10009648,So GD&DT tinh Lang Son,5.6,5.75,4.5,5,,,,3.6,6.5,2022
10009649,So GD&DT tinh Lang Son,5.6,5.75,6,6.5,,,,,,2022
10009650,So GD&DT tinh Lang Son,2.4,3,1.75,5.75,,,,,,2022
10009651,So GD&DT tinh Lang Son,3.8,5.25,5,5.5,,,,2.4,6.5,2022
10009652,So GD&DT tinh Lang Son,2.2,7,6,8.5,,,,,,2022
10009653,So GD&DT tinh Lang Son,2.2,5.25,5.5,7.5,,,,,,2022
10009654,So GD&DT tinh Lang Son,5.8,5.25,3,5.75,,,,,,2022
10009655,So GD&DT tinh Lang Son,3.2,6.5,4.75,5.5,,,,2.2,7,2022
10009656,So GD&DT tinh Lang Son,3,4.5,5.25,6,,,,,,2022
10009657,So GD&DT tinh Lang Son,7.2,6.75,6.75,6,,,,3.6,8.75,2022
10009658,So GD&DT tinh Lang Son,6.8,7,9,9,,,,4,8.75,2022
10009659,So GD&DT tinh Lang Son,4.8,6.75,3.25,6,,,,2.6,6,2022
10009660,So GD&DT tinh Lang Son,4.6,7.75,5,7,,,,3.6,8.25,2022
10009661,So GD&DT tinh Lang Son,1.8,7,5.75,6,,,,,,2022
10009662,So GD&DT tinh Lang Son,6.8,6.25,7,8.75,,,,4,8.75,2022
10009663,So GD&DT tinh Lang Son,4.2,7.75,7.5,7,,,,4.4,8,2022
10009664,So GD&DT tinh Lang Son,5,6.5,5.25,6.75,,,,,,2022
10009665,So GD&DT tinh Lang Son,4.8,6.75,2.75,7.25,,,,2.6,7,2022
10000001,So GD&DT tinh Lang Son,4,5,4.75,7,,,,,,2021
10000002,So GD&DT tinh Lang Son,6,5,5.25,6,,,,,,2021
10000003,So GD&DT tinh Lang Son,8.6,5.75,,,6.75,2.5,5.25,6.6,,2021
10000004,So GD&DT tinh Lang Son,9.4,7.5,,,7.5,6.5,5.5,9.6,,2021
10000005,So GD&DT tinh Lang Son,6.8,6,6.5,7.75,,,,,,2021
10000006,So GD&DT tinh Lang Son,8.8,6.5,,,8.25,2.5,5.75,9.8,,2021
10000007,So GD&DT tinh Lang Son,9.2,5.25,,,5,9.5,9.75,8.8,,2021
10000008,So GD&DT tinh Lang Son,5.8,4.25,5.25,6.5,,,,,,2021
10000009,So GD&DT tinh Lang Son,8.4,8,5.75,7.25,,,,9,8.25,2021
10000010,So GD&DT tinh Lang Son,8.6,8,4.75,6.25,,,,9.8,7.5,2021
10000011,So GD&DT tinh Lang Son,8,9,7.5,9.25,,,,9.4,9.25,2021
10000012,So GD&DT tinh Lang Son,7.8,7.5,4,6.25,,,,7.8,8.75,2021
10000013,So GD&DT tinh Lang Son,8.6,5.25,,,8.5,3.5,4.75,7.8,,2021
10000014,So GD&DT tinh Lang Son,3.6,3.75,6.5,7.5,,,,,,2021
10000015,So GD&DT tinh Lang Son,9,8.25,8.5,7.75,,,,9.8,8.75,2021
10000016,So GD&DT tinh Lang Son,8.8,6.5,,,8.25,7.5,4.5,9.4,,2021
10000017,So GD&DT tinh Lang Son,1.6,4.5,3.25,5.5,,,,,,2021
10000018,So GD&DT tinh Lang Son,6.6,4.25,,,5.75,2.5,5.25,9.8,,2021
10000019,So GD&DT tinh Lang Son,5.4,4.75,3.5,7,,,,,,2021
10000020,So GD&DT tinh Lang Son,7.6,7,,,8.5,2.5,3.25,9.4,,2021
10000021,So GD&DT tinh Lang Son,3.8,4.5,6.5,6.5,,,,3.2,8.75,2021
10000022,So GD&DT tinh Lang Son,8.8,5.5,,,6.75,4.5,4.5,9.4,,2021
10000023,So GD&DT tinh Lang Son,4.2,3.75,4.25,6.75,,,,,,2021
10000024,So GD&DT tinh Lang Son,2.8,2.75,7.75,6.75,,,,,,2021
10000025,So GD&DT tinh Lang Son,9.6,7.25,,,8,7.5,5.5,9,,2021
10000026,So GD&DT tinh Lang Son,8,8,6.25,7,,,,9.4,8,2021
10000027,So GD&DT tinh Lang Son,9.4,5.75,,,8,8.5,4.25,9,,2021
10000028,So GD&DT tinh Lang Son,8.6,6.5,,,7.75,9.5,4,7.4,,2021
10000029,So GD&DT tinh Lang Son,2.6,2.25,4.5,7,,,,,,2021
10000030,So GD&DT tinh Lang Son,8.2,7,6.75,7.5,,,,9.8,9.5,2021
10000031,So GD&DT tinh Lang Son,7.8,7.5,9,9.25,,,,4.6,8.75,2021
10000032,So GD&DT tinh Lang Son,9.2,6,,,8.25,5.5,5.75,9.8,,2021
10000033,So GD&DT tinh Lang Son,7.8,6,8.5,7,,,,6.4,9.5,2021
10000034,So GD&DT tinh Lang Son,8.6,7,6.5,8.25,,,,10,8.75,2021
10000035,So GD&DT tinh Lang Son,8.6,7,,,5.5,4.5,6.25,9.2,,2021
10000036,So GD&DT tinh Lang Son,2,1.5,2.5,5.75,,,,,,2021
10000037,So GD&DT tinh Lang Son,6.4,7.5,,,2,4.5,6.5,8.2,,2021
