,SBD,So GD&DT,Toan,Van,Su,Dia,Ly,Hoa,Sinh,NgoaiNgu,GDCD,NamThi
0,10009389,So GD&DT tinh Lang Son,2.8,2.75,3.0,6.75,0.0,0.0,0.0,3.6,6.0,2022
1,10009390,So GD&DT tinh Lang Son,3.0,4.25,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2022
2,10009391,So GD&DT tinh Lang Son,6.4,7.0,6.0,7.5,0.0,0.0,0.0,2.6,8.5,2022
3,10009392,So GD&DT tinh Lang Son,4.6,5.5,7.0,6.25,0.0,0.0,0.0,0.0,0.0,2022
4,10009393,So GD&DT tinh Lang Son,7.0,6.0,7.25,7.0,0.0,0.0,0.0,3.8,8.5,2022
5,10009394,So GD&DT tinh Lang Son,3.8,5.75,5.0,6.25,0.0,0.0,0.0,2.4,6.0,2022
6,10009395,So GD&DT tinh Lang Son,4.0,3.25,4.75,7.25,0.0,0.0,0.0,0.0,0.0,2022
7,10009396,So GD&DT tinh Lang Son,5.4,6.0,6.0,7.5,0.0,0.0,0.0,0.0,0.0,2022
8,10009397,So GD&DT tinh Lang Son,6.8,6.75,7.25,7.0,0.0,0.0,0.0,3.0,8.25,2022
9,10009398,So GD&DT tinh Lang Son,2.6,3.5,4.5,5.25,0.0,0.0,0.0,0.0,0.0,2022
10,10009399,So GD&DT tinh Lang Son,6.2,6.0,6.25,7.5,0.0,0.0,0.0,2.4,7.5,2022
11,10009400,So GD&DT tinh Lang Son,5.4,5.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,2022
12,10009401,So GD&DT tinh Lang Son,3.8,4.5,4.25,6.25,0.0,0.0,0.0,0.0,0.0,2022
13,10009402,So GD&DT tinh Lang Son,3.4,6.25,6.75,8.25,0.0,0.0,0.0,0.0,0.0,2022
14,10009403,So GD&DT tinh Lang Son,4.2,4.5,3.75,5.75,0.0,0.0,0.0,2.0,5.5,2022
15,10009404,So GD&DT tinh Lang Son,3.2,5.0,2.25,2.5,0.0,0.0,0.0,0.0,0.0,2022
16,10009405,So GD&DT tinh Lang Son,4.8,5.5,2.75,5.5,0.0,0.0,0.0,3.0,7.0,2022
17,10009406,So GD&DT tinh Lang Son,4.6,7.5,6.25,5.75,0.0,0.0,0.0,8.4,7.75,2022
18,10009407,So GD&DT tinh Lang Son,6.0,6.75,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2022
19,10009408,So GD&DT tinh Lang Son,4.6,5.5,5.5,7.0,0.0,0.0,0.0,4.6,7.5,2022
20,10009409,So GD&DT tinh Lang Son,3.8,4.5,5.75,7.25,0.0,0.0,0.0,0.0,0.0,2022
21,10009410,So GD&DT tinh Lang Son,5.0,5.0,7.0,8.0,0.0,0.0,0.0,2.0,8.0,2022
22,10009411,So GD&DT tinh Lang Son,3.8,5.25,8.25,7.75,0.0,0.0,0.0,4.0,9.25,2022
23,10009412,So GD&DT tinh Lang Son,5.8,6.5,6.0,7.75,0.0,0.0,0.0,2.8,8.25,2022
24,10009413,So GD&DT tinh Lang Son,5.4,5.25,5.75,8.0,0.0,0.0,0.0,2.0,6.75,2022
25,10009414,So GD&DT tinh Lang Son,4.8,5.5,6.25,7.25,0.0,0.0,0.0,0.0,0.0,2022
26,10009415,So GD&DT tinh Lang Son,4.2,6.25,6.25,6.5,0.0,0.0,0.0,0.0,0.0,2022
27,10009416,So GD&DT tinh Lang Son,1.6,2.75,4.25,7.25,0.0,0.0,0.0,0.0,0.0,2022
28,10009417,So GD&DT tinh Lang Son,3.8,3.0,4.25,4.75,0.0,0.0,0.0,0.0,0.0,2022
29,10009418,So GD&DT tinh Lang Son,3.4,4.25,4.5,6.5,0.0,0.0,0.0,3.8,7.75,2022
30,10009419,So GD&DT tinh Lang Son,7.8,5.0,9.0,6.75,0.0,0.0,0.0,3.4,8.75,2022
31,10009420,So GD&DT tinh Lang Son,3.6,5.5,6.75,5.75,0.0,0.0,0.0,0.0,0.0,2022
